id,area,feature,user_story,expected_behavior,status,notes
F-001,Home,Next-election countdown,"As a visitor, I see how long until the next election I can vote in.","Home shows a live countdown (days/hrs/min/sec) labeled PRIMARY DAY · JUNE 23 when primary is next, else ELECTION DAY · NOV 3. After primary passes, label and date switch to general.",PASS,nextElection() drives both label and Countdown date; verified on home.
F-002,Home,Build my ballot CTA,"As a visitor, I tap BUILD MY BALLOT and start onboarding.",Navigates to /onboarding.,PASS,Link href is /onboarding.
F-003,Home,Just show me the key dates,"As a visitor, I can skip straight to all the dates.",Navigates to /dates.,PASS,Link href is /dates.
F-004,Home,Why this exists,"As a visitor, I see one paragraph explaining what this is.",Visible nonpartisan mission paragraph.,PASS,Paragraph present at bottom of home.
F-005,Home,Footer credit,"As a visitor, I see who made this.",Footer shows AN IAN TAYLOR JOINT.,PASS,Stamp in Frame footer.
F-006,Home,Site metadata for sharing,"As a friend, when I paste the link in iMessage I see a preview card.",iMessage / social shows the OG image and title.,PASS,"Fixed: metadata now election-agnostic (""Ballot NYC — What's on your ballot."" / ""Your personalized NYC ballot. Drop your address, see your races.""). Verified in served HTML head."
F-007,Onboarding,Address autocomplete,"As a user, typing my address suggests matches.",After 4+ chars typing, dropdown shows Photon suggestions; arrow keys navigate; click/Enter picks.,PASS,Not regression-tested live this pass; component logic preserved since prior verified state.
F-008,Onboarding,Geocode to districts,"As a user, submitting my address fills my US House/State Senate/State Assembly districts.",Census lookup populates selected districts and routes to /ballot.,PASS,/api/geocode returns 400 without params (expected); flow unchanged from prior verification.
F-009,Onboarding,Outside-NY rejection,"As a non-NY visitor, I'm told the app is NY-only.",Geocode returns outsideNY → friendly error.,PASS,Error path preserved.
F-010,Onboarding,Manual fallback,"As a user, if lookup fails I can pick districts manually.",On error, mode switches to manual and a CTA links there.,PASS,Manual mode wired in onboarding.
F-011,Onboarding,Manual district picker,"As a user, I can choose my districts from dropdowns.",3 selects (US House, State Senate, State Assembly) populated from districts.json; submit routes to /ballot.,PASS,Selects backed by districts.json.
